JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455998.4618,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2455999.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2455999.4465,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2455999.9485,7.7,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456001.4,8.2,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456003.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456003.68056,8.6,,,Vis.,FWJA,,88,84,6933BKU,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456004.15,8.8,,,Vis.,HCS,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456006.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456006.5118,7.7,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456006.9257,7.7,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456007.25,8.3,,,Vis.,PPS,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456007.4875,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456008.3,8.2,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456008.30,8.3,,,Vis.,FDA,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456008.5,7.8,,,Vis.,SHS,,70,80,5296dpr,,,,Z,,,,VY CMa,AAVSO,STD,,,,
2456009.26,8.0,,,Vis.,PPS,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456009.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456009.9396,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456010.0993,8.0,,,Vis.,SVA,K,8.4,,NZ988,,,,Z,,,,VY CMa,AAVSO,STD,,,,
2456011.3,8.2,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456012.32,8.1,,,Vis.,FDA,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456013.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456013.98611,7.9,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456014.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456015.94028,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456016.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456016.4507,7.9,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456016.92917,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456017.4354,7.8,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456017.93264,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456018.4965,7.8,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456018.92500,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456019.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456020.4833,7.7,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456020.92500,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456021.91875,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456022.886,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456024.4917,7.7,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456024.91319,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456025.92083,7.7,,,Vis.,MTH,,8.0,,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456026.4708,7.7,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456026.91597,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456026.9729,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456027.3,8.1,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456027.91875,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456029.3,8.0,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456030.9042,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456033.4208,7.7,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456034.4715,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456036.4250,7.9,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456036.9250,8.4,,,Vis.,SVA,K,8.4,,NZ988,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456037.3,8.0,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456037.9368,8.0,,,Vis.,SVA,K,8.4,,NZ988,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456038.91181,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456038.9417,8.4,,,Vis.,SVA,K,8.4,,NZ988,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456038.9639,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456039.90417,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456040.90833,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456041.8882,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456041.90764,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456046.9674,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456047.5438,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456048.9472,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456049.5257,8.1,,,Vis.,AAX,BK,80,84,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456050.4306,7.8,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456050.8729,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456050.94375,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456051.88333,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456052.4549,7.8,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456052.88750,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456053.91875,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456054.92014,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456055.89861,7.8,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456055.9367,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456057.8681,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456058.9076,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456061.4076,7.9,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456061.89653,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456061.9082,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456062.886,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456062.88889,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456063.4146,7.9,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456063.89097,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456064.8493,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456064.88056,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456066.88958,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456067.88194,7.7,,,Vis.,MTH,,7.1,8.0,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456068.8986,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456069.4347,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456069.8889,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456074.3986,7.7,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456075.3903,7.7,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456075.9153,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456076.8826,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456077.3938,7.7,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456082.8556,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456085.8597,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456087.8507,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456091.3979,7.7,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456092.3924,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456093.3965,7.9,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456093.8368,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456095.886,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456096.8931,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456099.8457,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456101.8493,7.9,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456102.8465,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456103.4069,7.8,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456106.3868,7.6,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456162.79861,8.1,,,Vis.,PLA,,7.4,8.3,8584GP,Binocular 20x80,,,Z,,,,VY CMA,REA,STD,,,,
2456206.7,8.2,,,Vis.,VED,,NA,,NA,,,,Z,,,,VY CMA,AFOEV,STD,,,,
2456217.64,8.1,,,Vis.,KSZ,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456219.3368,8.4,,,Vis.,PEX,,83,88,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456226.1924,7.8,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456238.5889,8.0,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456257.2354,7.9,,,Vis.,PEX,B,70,80,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456265.9688,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456274.9618,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456280.2285,8.3,,,Vis.,PEX,,80,84,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456280.4958,7.9,,,Vis.,AAX,K,74,80,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456281.2507,8.2,,,Vis.,PEX,,84,,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456282.2382,8.1,,,Vis.,PEX,,80,84,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456282.99097,8.1,,,Vis.,MTH,,8.0,8.4,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456285.5451,7.8,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456288.2292,8.7,,,Vis.,PEX,,86,90,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456292.18056,8.6,,,Vis.,BLOA,BV,84,86,10217ACE,,,,Z,,,,VY CMa,AAVSO,STD,,,,
2456293.9548,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456295.95417,8.0,,,Vis.,MTH,,8.0,8.4,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456295.9826,8.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456297.9986,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456298.32,9.0,,,Vis.,EJO,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456298.9854,8.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456299.9833,8.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456301.04167,8.6,,,Vis.,MTH,,8.4,8.7,1071bj,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456302.00486,8.0,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456302.2319,8.7,,,Vis.,PEX,,86,90,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456302.99931,8.1,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456303.1965,8.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456304.00556,8.2,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456306.01042,8.0,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456307.00069,8.2,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456307.9611,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456309.01181,8.6,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456309.255,8.7,,,Vis.,PEX,,86,88,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456309.97847,7.8,,,Vis.,MTH,,7.1,8.0,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456309.9938,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456311.5472,8.0,,,Vis.,AAX,BK,74,80,1482KW,MOON TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456316.2313,8.7,,,Vis.,PEX,,86,88,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456316.9604,8.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456322.0889,8.7,,,Vis.,PEX,B,85,88,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456322.99375,8.7,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456323.9479,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456326.03889,8.2,,,Vis.,MTH,,8.0,8.4,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456326.99792,8.6,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456327.9424,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456328.0639,8.5,,,Vis.,PEX,,84,86,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456328.98125,8.8,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456329.97778,8.6,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456330.9229,8.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456330.98125,8.5,,,Vis.,MTH,,8.4,8.7,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456332.97361,8.6,,,Vis.,MTH,,8.4,8.6,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456335.68611,8.6,,,Vis.,TRL,,8.3,8.6,10635ES,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456336.93889,8.5,,,Vis.,MTH,,8.4,8.6,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456338.38403,8.6,,,Vis.,GKI,,8.8,8.4,1482kw,,,,Z,,,,VY CMA,,STD,,,,
2456340.9826,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456341.9201,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456342.38403,8.6,,,Vis.,GKI,L,8.4,8.7,3210btw,,,,Z,,,,VY CMA,,STD,,,,
2456342.9145,8.2,,,Vis.,WPX,,NA,,NA,,,,Z,,,,VY CMA,VSS,STD,,,,
2456344.38611,8.4,,,Vis.,BBI,,83,84,10217FDD,,,,Z,,,,VY CMA,VVS,STD,,,,
2456347.92500,8.5,,,Vis.,MTH,,8.4,8.6,10317coi,,,,Z,,,,VY CMa,AAVSO,STD,,,,
2456350.01806,8.5,,,Vis.,MTH,,8.4,8.6,10317coi,,,,Z,,,,VY CMA,AAVSO,STD,,,,
2456353.4576,8.4,,,Vis.,AAX,K,80,84,1482KW,TYC,,,Z,,,,VY CMA,REA,STD,,,,
2456354.0486,8.8,,,Vis.,PEX,,86,90,7126AJZ,,,,Z,,,,VY CMA,RASNZ-VSS,STD,,,,
2456355.26,8.1,,,Vis.,KSZ,,000,,999999,,,,Z,,,,VY CMA,MCSE,STD,,,,
2456355.33819,8.5,,,Vis.,GKI,,8.4,8.7,3210btw,,,,Z,,,,VY CMA,,STD,,,,
